delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
414096,28844,15088,132477,32188,345679,9291,25915,know
666750,5728,16602,98402,24194,3089,20864,14079,know
474080,11372,5851,86286,30677,20722,14912,6014,know
774387,3015,3387,61289,39882,3488,6416,17629,know
250514,2755,3512,27836,20965,5616,9160,11858,know
103607,3527,2966,17626,21140,4321,7113,5583,know
274286,3386,10027,67746,14147,6559,10241,7567,know
543103,6616,8244,227051,11896,65534,5430,9414,know
855554,6944,7269,121198,29938,29151,9444,4878,know
370504,3310,3876,343693,7485,12081,14365,18822,don't know
125740,4888,4037,50878,27380,17791,16385,7131,know
578358,5902,6883,112859,24699,17571,7614,5216,don't know
444960,3204,9063,19414,11659,6321,9048,10159,don't know
481874,4072,7422,371559,19842,4927,13513,9508,don't know
408180,6435,11006,252796,11507,23009,11798,28888,know
72791,2215,3235,34819,9497,3880,2690,6027,don't know
439024,1611,4477,19853,9006,2721,2575,1942,know
567409,10504,3261,40414,6614,6553,9730,11508,know
301618,4803,12906,74288,14738,19321,9040,13106,know
157667,1547,5032,39416,9640,2949,5634,12927,don't know
255344,3162,5088,21683,8410,11451,6930,6597,know
149740,2104,16003,63982,3540,2614,5567,5002,don't know
322578,1024,970,26775,3280,4789,3689,2239,know
111706,865,1124,64265,3482,2664,1281,1237,don't know
113888,1104,771,19092,4759,10920,1255,702,know
239472,1204,2085,26513,1026,12442,3513,1614,don't know
182619,2979,2862,54356,3842,3861,9556,4525,don't know
284789,5482,1625,31969,17932,8846,1905,1982,know
76753,318,1584,18608,1598,2738,1062,926,know
106903,2681,1891,91585,13823,10546,4966,6015,don't know
