delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
399714,36162,19926,171072,38678,410483,13128,32285,know
190631,552,691,24752,2832,2314,758,216,know
93496,14409,8122,96054,36482,18582,11741,8111,know
118617,208,935,13280,7508,4306,4479,18659,know
295373,0,1067,6883,922,4284,3089,901,know
124037,320,2202,21041,6371,3504,433,4673,know
172180,3519,2945,52229,8655,5481,10643,6453,know
35438,5401,9917,4786,4909,13355,6845,11643,know
76870,7882,6925,110024,35375,29432,9932,997,know
393090,1041,571,8267,5126,8285,2398,2948,don't know
47339,53,1455,7375,7571,1105,658,1405,know
94546,6624,7329,41378,2411,2495,3816,2533,don't know
90165,623,827,14572,1024,7784,7797,6041,don't know
98034,1818,700,12874,4011,5338,1651,660,don't know
161844,5460,12688,289721,15366,25476,14004,34560,know
8401,38,81,282,105,2666,541,92,don't know
499467,551,1096,19165,3779,1784,3298,2530,know
499443,1102,3,13580,3544,6355,1739,4544,know
296303,4378,5191,15345,11238,651,9098,12984,know
71793,1640,3737,551,6130,2205,5656,15185,don't know
154412,3276,2061,2795,7560,7168,5357,5482,know
105196,2509,18573,61740,3779,3139,5348,5134,don't know
365698,517,1344,26501,4013,4017,2892,2506,know
113242,1144,63,76600,3201,547,1321,1729,don't know
129233,774,25,21550,859,10767,1559,872,know
251076,1388,2677,31692,160,14699,4372,1913,don't know
11106,280,969,15291,3875,496,1092,1475,don't know
280082,6329,1595,32558,20107,1729,847,1252,know
15111,257,2159,686,808,1120,1340,1266,know
110950,3631,2352,105715,16043,12900,5981,7590,don't know
