delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
425569,26041,14410,130267,30532,302200,10283,22660,know
663936,4868,14234,85928,55225,2760,17548,11808,know
437288,9426,4944,73703,38068,19636,12460,5110,know
681056,3818,3583,61466,35948,3991,5305,16455,know
256282,3031,5439,26210,18106,5354,8918,9699,know
90546,4200,7798,17294,17498,3968,8663,6587,know
268431,2993,10819,61598,14820,6459,10397,7372,know
734436,7726,7378,205762,16274,56950,6082,22292,know
752656,7447,7867,103264,25859,24739,9656,4668,know
347601,2860,4680,299875,7387,11203,12655,16553,don't know
177728,4276,3403,47855,24812,16245,14331,9486,know
532712,5587,7051,105400,29265,15974,8672,5552,don't know
486074,8923,18478,141542,10509,48353,11214,13407,don't know
451755,8327,7081,318731,17310,8047,15849,9398,don't know
427989,7915,19320,217950,9547,26783,10267,28321,know
268767,6127,6736,31115,10038,10924,19301,10216,don't know
370098,3541,3747,16918,9324,3601,2263,2268,know
554688,8765,6356,49347,5495,11355,8698,10247,know
327983,5405,12780,78490,15876,18446,9825,12805,know
147964,1485,4488,39200,9389,5082,5500,11775,don't know
254458,3682,4572,70569,7669,12184,5868,7883,know
182446,1907,13882,60371,3329,3930,4821,6148,don't know
278746,1851,1781,26809,7328,4197,5174,6044,know
99884,1339,1068,57720,4571,2367,2014,6860,don't know
97193,1061,996,16127,4124,9653,1204,1018,know
253203,1023,1705,35937,2396,11928,3149,1580,don't know
179774,3331,6357,54167,4544,15857,10914,4900,don't know
275602,4704,2124,37822,15073,10051,4980,2593,know
62701,3212,4546,15300,3630,8204,2068,1656,know
93815,2309,1673,76812,11409,8899,4308,5095,don't know
