delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
408922,30935,16562,139913,34752,355741,12318,27118,know
246333,2475,7204,20619,20525,2355,9902,547,know
438392,10330,6022,86757,29323,20157,14303,5904,know
782769,2582,2147,68805,31126,4502,4991,16419,know
287314,3175,5926,31470,21163,5660,10020,4567,know
107158,4173,2937,17231,20182,2598,8167,4550,know
306675,2610,11364,73703,8390,6515,9941,7684,know
65899,8862,8309,12090,13494,14867,6948,25030,know
168465,7396,7639,119870,29683,28314,11231,5525,know
394678,838,2906,19422,4587,12727,2724,3758,don't know
57655,4019,3297,26709,6682,5159,7384,11141,know
617349,6228,7113,126108,26709,7980,9702,6169,don't know
100486,5132,11003,19811,11612,6320,11375,10770,don't know
233309,2161,1980,25138,4907,4768,1790,2692,don't know
458252,6199,11799,264526,11482,22926,12023,29344,know
313658,7286,8043,22527,9520,12557,23035,12175,don't know
440162,1377,4571,20437,3481,2453,2690,2132,know
595432,10714,4110,44037,6661,7866,9800,12395,know
319309,4459,8676,80315,11668,9706,8158,10888,know
158634,1443,3629,41575,10718,5613,4547,13867,don't know
289826,3018,5081,25043,8025,12914,5909,6297,know
180026,2234,15956,67454,3342,3326,5486,6253,don't know
325531,387,1030,29118,3807,5104,3717,2600,know
113790,916,332,63986,2894,2408,1187,1453,don't know
114591,1000,872,16713,947,11123,1457,963,know
273399,1100,1930,39723,1613,12948,3239,1579,don't know
189425,3281,3185,61987,4524,5162,10081,5312,don't know
324597,5144,2282,35592,17920,10162,6059,2583,know
69629,3855,5281,18560,2682,3065,2262,1795,know
108060,2749,1781,90149,13372,9945,5240,6002,don't know
