delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
439604,28365,15185,134335,31463,329282,11095,24762,know
248186,2857,7157,20371,60486,2237,9042,3395,know
463784,9269,5387,78761,37790,19670,12809,5313,know
730504,2318,3003,64603,32906,4089,4484,15713,know
273104,2894,5880,28648,19796,5829,9409,4658,know
98881,4441,7726,15633,18156,3309,8621,6101,know
293017,2667,10989,66941,8301,6790,10937,8075,know
713561,7953,8060,124591,17766,14681,6661,23988,know
165292,7678,7967,111823,28100,26693,10505,4974,know
373815,821,2647,18978,4163,11448,3033,4005,don't know
177049,3750,2972,28371,8540,4652,7178,10206,know
563579,5762,7352,114436,29099,10332,8999,5745,don't know
420406,9355,19509,152724,11356,51088,10867,14680,don't know
227460,9004,5240,32955,7034,8352,14529,7599,don't know
436874,7893,20826,237113,10302,27656,10963,29942,know
293525,6585,7332,20149,8793,11726,21031,11191,don't know
396253,3858,4089,18511,7313,3867,2425,2237,know
583216,9598,6888,50234,6015,12084,8984,11151,know
310752,4249,8069,75686,11014,8813,7659,10045,know
153409,1377,3262,39561,10283,5236,4340,12899,don't know
259451,3529,4573,72414,7193,12181,5457,7320,know
197510,2060,14877,66092,3124,4305,5010,6690,don't know
295970,1971,1880,26227,8022,4573,5417,6309,know
103690,1431,812,60889,4894,2294,2116,7421,don't know
103432,1051,1088,15160,1631,10573,1311,1114,know
271538,990,1737,38108,2563,11999,3132,1419,don't know
189354,3589,6852,59163,4520,17150,11703,5361,don't know
301783,4915,2182,39000,16119,10665,5455,2756,know
62669,3470,4772,16671,3975,8987,2253,1699,know
98620,2520,1655,81347,12071,8968,4687,5454,don't know
