delta_0,theta_0,lowalpha_0,highalpha_0,lowbeta_0,highbeta_0,lowgamma_0,midgamma_0,delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
824309,48258,6688,22022,4771,12608,12669,3872,56923,19797,2081,1227,1634,1043,484,702,280640,53559,11919,33082,3827,2537,2006,2508,71430,32656,7356,6062,4187,2740,926,1467,131733,19278,12328,31042,2012,2249,1837,842,74985,9931,6750,30368,1504,1815,2109,1317,36401,77628,92299,77186,13954,10282,7365,7360,210917,37301,19917,28712,4555,4753,3913,2581,easy
69356,13273,4201,1761,761,3950,1813,1517,191582,47784,12612,12535,1697,5474,1318,1087,247657,34716,57730,105878,28875,12967,9420,10358,86317,11892,17228,15700,3846,2582,1874,1398,87414,25647,28422,29892,5428,2663,1722,2441,1099288,97386,47260,87081,16823,9505,7526,4654,67333,8380,2363,4830,1086,702,940,183,264135,34154,24259,36811,8359,5406,3516,3091,hard
75668,12467,8772,16413,21836,13245,9224,5059,54972,32547,26695,11850,5365,4859,3548,5606,1114860,139315,16667,14415,6822,1571,1417,1857,44494,21215,12710,7117,4007,2370,1456,960,31311,20491,8167,123269,7686,3843,2209,2971,168711,24824,45632,22293,9331,2740,846,853,65771,141918,57700,30598,10266,8162,5149,3414,222255,56111,25191,32279,9330,5255,3407,2960,easy
738187,18982,2130,21453,6464,5231,6507,2082,33537,81078,792,11803,15508,5329,15698,10185,8325,21111,6693,7737,2139,3773,2257,875,134345,9780,15038,13258,2861,5061,1510,1937,54699,16504,18360,5432,7068,4722,1360,927,198497,213292,89442,11465,11000,17615,5796,8997,366882,78024,22879,16785,5677,3209,1407,1228,219210,62681,22190,12561,7245,6420,4933,3747,hard
458773,66467,31875,12502,23594,7988,7375,4384,30260,28635,10185,14847,8251,25019,17166,9969,99847,11473,12441,6786,6120,2962,2214,1459,1722531,46450,22473,64169,12763,4706,5232,6092,82234,15201,25578,135558,11126,10194,7812,8591,7848,212449,80602,138909,19288,18604,5521,8181,249329,7860,6074,2447,1339,826,1042,273,378688,55505,27032,53602,11783,10042,6623,5564,hard
997107,43088,57193,2021,2968,7795,3829,2402,24719,21474,6660,5959,7087,3751,2570,1241,197206,41024,5382,2303,3803,3008,2387,1922,96809,48526,16117,44225,13490,16163,23103,5360,734725,33517,18114,17596,1156,3873,3311,1480,169841,39378,9745,11333,4156,5014,1892,2172,529633,199302,35299,22721,17906,2802,2837,2702,392862,60901,21215,15165,7223,6058,5704,2468,easy
651083,30962,6777,7290,5380,21641,7767,8469,346979,23438,8698,1846,993,2575,895,697,526253,117612,57528,112400,44402,20194,11731,9385,54079,39732,90875,36408,19289,26940,16592,4953,17833,66939,21947,79723,15828,9638,4920,2528,471119,145760,77182,96532,9547,6384,4627,3921,118520,100052,95137,60534,26982,23701,3512,5546,312266,74927,51163,56390,17488,15867,7149,5071,hard
740911,136306,114638,11489,25011,28256,6734,7633,498611,133343,35149,60859,12018,10262,8113,6267,333123,19346,10081,10505,3555,6784,1040,1721,40924,28503,16383,15991,12456,4813,1668,1014,908875,109321,11905,235041,11737,12153,5976,6451,227148,11991,5566,19128,2238,2314,1139,850,938529,19042,15104,19997,3523,2211,1176,2156,526874,65407,29832,53287,10076,9541,3692,3727,hard
254185,130772,24456,27579,3658,6873,1807,1610,2430867,565280,193837,34658,54510,32829,11824,11437,163044,11679,1304,2094,2283,1401,470,298,1389333,178550,51698,133677,23111,9664,12295,5971,536931,5836,2610,30323,1816,1994,867,1817,67587,16705,24843,101328,18513,23777,6253,2192,50273,8530,4416,5531,3354,2587,3550,2343,698888,131050,43309,47884,15320,11303,5295,3666,hard
91420,89795,7778,3850,8224,6320,9264,2556,75754,115265,9035,4832,9222,8837,3366,3562,1200627,346377,25505,107334,23991,6914,11516,11465,186426,44674,2033,60481,4030,3545,1154,943,2117316,209709,163027,56680,39569,20018,15220,5745,828377,52908,89083,45691,21829,5927,8631,6380,428038,130381,24529,82432,17677,10516,5417,7344,703994,141301,45855,51614,17791,8868,7795,5427,easy
170085,15989,4672,2392,1603,1191,1117,413,489514,402420,123431,37912,39081,14138,17791,5985,28339,13133,5492,37161,4161,1963,2527,1248,24048,18493,9080,22487,3836,2667,2138,895,18549,30284,49252,183648,6545,16822,9220,3702,663605,23037,59159,17692,5800,2383,776,867,788898,40206,37531,23638,4851,4139,1801,1257,311862,77651,41231,46418,9411,6186,5052,2052,hard
1806823,274713,27205,12012,28868,18909,8701,13907,2364104,196231,35745,57328,36452,28595,12182,15742,97912,32789,5585,17026,1221,3617,2135,644,49947,41852,11496,21979,3330,2914,1046,1213,98830,40950,20279,79551,6866,6004,3641,1520,46641,26849,1042,42024,4005,3170,1826,2637,247405,180552,73484,56946,21653,11155,2717,2517,673094,113419,24976,40980,14627,10623,4606,5454,hard
27521,26209,8653,3956,5360,3749,2936,3206,54167,24406,3506,2401,789,1051,499,190,276216,25275,23765,8223,11556,16780,11390,13050,178484,7352,17983,11941,9955,4943,2509,2095,199154,101205,49027,57173,12685,14099,5684,2260,88332,275336,118543,106171,11697,12875,8502,15429,1037926,208653,94933,201222,54357,24634,9799,6231,265971,95490,45201,55869,15199,11161,5902,6065,easy
83751,19383,21131,11038,12293,9590,17884,3608,53563,65216,7446,8679,1567,3901,2235,996,527004,25856,13143,7780,4249,4147,4812,1716,47557,10409,28444,37208,4150,2297,1426,1400,17251,26651,88303,20731,7570,29667,9558,6857,86881,15159,39916,103300,9869,6758,5541,2925,18513,5289,35025,199391,10799,9437,10424,6017,119217,23994,33344,55446,7213,9399,7411,3359,hard
739992,253683,72348,22313,13438,14637,14725,6162,25773,14147,4794,21356,4791,9135,10832,2082,85159,105691,37244,16024,13901,7315,7388,6221,565829,211382,61596,112322,4098,16572,8443,5748,127923,8467,10385,9966,1991,898,2198,826,6002,27879,15312,129267,1560,7047,5531,5112,269452,72609,17298,297914,18886,13021,9100,15615,260018,99122,31282,87023,8380,9803,8316,5966,easy
45615,16004,1635,2685,2608,1376,1211,929,19875,7258,5582,2776,429,903,530,834,394192,225212,31287,26337,13428,6733,17449,8714,800069,68300,6594,5412,6284,5761,1293,2098,853718,604184,23578,114283,22454,33056,21024,15291,625002,185862,5563,35835,29665,28210,13178,6566,316283,63400,12720,11050,7897,4743,4999,2456,436393,167174,12422,28339,11823,11540,8526,5269,easy
8606,4330,10193,2593,5222,2289,965,948,1061520,230590,36178,15384,18271,8792,2422,3817,544532,19091,3909,15884,11629,7523,5735,2239,242671,17854,1095,48611,3092,5419,1899,3001,16166,29070,22307,44450,6452,4758,3049,2181,32230,21781,10956,6893,6368,4479,3330,1688,133987,270684,53477,18295,4887,10003,6515,4865,291387,84771,19730,21730,7988,6180,3416,2677,easy
561273,1003284,215431,92789,120227,67820,25976,46465,9241,82239,7348,8748,6614,3532,4704,930,730131,15117,6998,4409,3116,6231,1652,1291,254708,93094,7439,42647,13229,4246,2879,1083,128684,47931,12942,12030,2958,2220,986,1099,444492,230465,35105,88675,18453,10290,10978,5570,1712271,105431,46876,29362,16223,4606,5917,1765,548685,225365,47448,39808,25831,14135,7584,8314,easy
785933,188969,33069,11666,16184,9003,6693,2344,2276618,34821,17548,5080,6812,9011,1624,1797,1032896,166932,43410,46120,47859,9362,8981,8143,598220,3739,8225,3425,3700,2633,958,548,239116,13877,14677,27048,23030,4489,6392,8710,1428058,91406,38017,149516,11273,9672,9692,4394,61342,81447,15294,157058,5849,16084,4353,5254,917454,83027,24320,57130,16386,8607,5527,4455,easy
691375,40927,1442,1329,934,1103,984,328,2441351,760417,108441,17832,14938,14681,18352,7753,972233,23210,9300,7270,2344,2733,597,927,874047,538039,99159,38727,24138,12445,7126,15477,73672,6735,1892,3271,3531,698,364,1207,255607,48326,11493,45183,4599,1134,796,1858,262572,67165,14711,31750,16062,7893,8358,15862,795836,212117,35205,20766,9506,5812,5225,6201,hard
625827,116704,36991,10864,20252,9339,11139,4261,168036,17036,27611,17194,9012,9653,9222,5645,702761,91863,4185,13205,8497,3023,2376,4734,71461,9996,4917,23395,3306,1671,3297,2865,137771,30284,3576,12262,3386,6060,1899,1381,2351001,264495,90540,12936,25945,9227,8403,7727,40281,32746,112061,48989,6457,7270,9579,8443,585305,80446,39983,19835,10979,6606,6559,5008,hard
961369,128891,16174,4749,9069,2689,5388,1912,603333,189455,441,53213,31113,4999,4087,3292,1286144,34755,17524,7641,8705,3510,1072,1985,2623892,15419,9770,119505,31363,12006,9474,8728,186727,32194,36087,67740,13914,10760,14666,5482,29031,14540,111289,66327,8381,19810,4279,14020,56148,66944,49840,136561,18776,10110,5252,6844,820949,68885,34446,65105,17331,9126,6316,6037,easy
790250,117673,12468,22442,14447,11459,5407,18245,1981352,278027,36747,32973,81949,27777,10944,4717,144461,15189,4815,2888,3706,1372,667,1309,101806,19158,4382,27883,1821,2118,1560,1483,72517,20586,95870,67432,14949,7410,4663,11740,113366,11822,5846,37922,1194,1303,1414,2095,331083,100087,61375,61777,22475,12707,10645,13670,504976,80363,31643,36188,20077,9163,5042,7608,hard
