a,sd,asd,as,d,as,d,sad,as,d,as,d,sa,d,ds,sad,ds,ad,d,dsa,xc,cx,c,c,c,c,c,c,c,c,c,cc,state
-473441,39360,-5697,899,-2682,-246,-2577,-720,479447,15447,-15301,-29428,99,1850,3386,316,30306,-16242,-59859,16477,-3420,-27370,-8132,-5457,-69630,11492,48387,-82569,-2299,22909,4017,3932,hard
-59386,-91544,-32450,5332,-9110,1820,3444,-4139,-480670,-105691,-24352,-96298,9803,-9257,-1055,473,437906,202915,51211,102356,2107,15674,6245,4922,121921,-19412,-4927,-119301,431,-6149,-3333,-4286,easy
-374317,-217954,-25705,-23561,-12999,-5830,-16919,-7880,-405877,156912,24693,20925,7144,972,16156,6616,-53649,-535884,-16984,-108871,-16170,-27295,-19731,-13193,228716,418322,18015,78448,-7211,4846,7846,8725,easy
516988,211499,32269,-500,6642,1269,-3313,1578,301861,1237,2814,-32727,8537,2104,3836,-762,226505,-11216,-21212,4161,-3360,661,-1150,820,-16064,7289,11351,37557,84,279,-281,493,easy
-720890,67122,350,4339,3498,-2699,3052,-361,475423,-77977,-441,-38238,-10113,1985,-1227,208,126024,45163,-5503,30617,10271,2026,1893,-16,-315808,-182534,-22163,-76645,-15495,-8070,-9992,-4471,easy
1243722,-132111,-25862,-41040,-41047,-351,-7357,-6346,434676,163193,35185,42695,44159,6729,8023,7595,359104,-10138,-6452,-23623,-19330,-1856,-5434,-8162,-1188942,-77529,-23340,-122468,11757,-5183,-3300,4316,easy
1469118,737207,99141,10562,12594,11948,17755,6826,98186,-514829,-89859,-31457,-21794,-9712,-6529,-14550,800375,531304,97267,35456,20607,11747,6762,14270,-181935,-41591,-9601,-41912,-1068,-436,-432,-651,hard
-534725,-74827,23426,3989,515,6630,6846,911,631300,81867,-732,-10190,5191,1352,-921,1869,-66310,-20288,1341,11133,-80,-4389,1398,1484,-2213230,-234211,-86964,-674,-22559,-3167,-6504,-6346,hard
-682811,154700,-17083,45572,22408,1489,3015,1307,-1337748,19336,7754,-111864,-22658,-8496,-8402,-6743,2437165,-16775,-26317,51765,17449,1246,-5192,3246,157696,17654,-75202,1413,5533,-9050,10387,-8538,easy
1836891,262838,31932,30085,78243,26405,10277,3408,42655,-3969,433,-24995,1885,-746,-893,-174,29289,-1428,-91488,-39549,-13128,-5292,-3103,-10257,-40849,8764,90024,29510,13755,6107,3249,9645,hard
