MSG_EEG_POWER_DELTA_1,MSG_EEG_POWER_HIGHALPHA_1,MSG_EEG_POWER_HIGHBETA_1,MSG_EEG_POWER_LOWALPHA_1,MSG_EEG_POWER_LOWBETA_1,MSG_EEG_POWER_LOWGAMMA_1,MSG_EEG_POWER_MIDGAMMA_1,MSG_EEG_POWER_THETA_1,MSG_EEG_POWER_DELTA_2,MSG_EEG_POWER_HIGHALPHA_2,MSG_EEG_POWER_HIGHBETA_2,MSG_EEG_POWER_LOWALPHA_2,MSG_EEG_POWER_LOWBETA_2,MSG_EEG_POWER_LOWGAMMA_2,MSG_EEG_POWER_MIDGAMMA_2,MSG_EEG_POWER_THETA_2,MSG_EEG_POWER_DELTA_3,MSG_EEG_POWER_HIGHALPHA_3,MSG_EEG_POWER_HIGHBETA_3,MSG_EEG_POWER_LOWALPHA_3,MSG_EEG_POWER_LOWBETA_3,MSG_EEG_POWER_LOWGAMMA_3,MSG_EEG_POWER_MIDGAMMA_3,MSG_EEG_POWER_THETA_3,MSG_EEG_POWER_DELTA_sd,MSG_EEG_POWER_HIGHALPHA_sd,MSG_EEG_POWER_HIGHBETA_sd,MSG_EEG_POWER_LOWALPHA_sd,MSG_EEG_POWER_LOWBETA_sd,MSG_EEG_POWER_LOWGAMMA_sd,MSG_EEG_POWER_MIDGAMMA_sd,MSG_EEG_POWER_THETA_sd,MSG_EEG_POWER_DELTA_diff1,MSG_EEG_POWER_HIGHALPHA_diff1,MSG_EEG_POWER_HIGHBETA_diff1,MSG_EEG_POWER_LOWALPHA_diff1,MSG_EEG_POWER_LOWBETA_diff1,MSG_EEG_POWER_LOWGAMMA_diff1,MSG_EEG_POWER_MIDGAMMA_diff1,MSG_EEG_POWER_THETA_diff1,MSG_EEG_POWER_DELTA_diff2,MSG_EEG_POWER_HIGHALPHA_diff2,MSG_EEG_POWER_HIGHBETA_diff2,MSG_EEG_POWER_LOWALPHA_diff2,MSG_EEG_POWER_LOWBETA_diff2,MSG_EEG_POWER_LOWGAMMA_diff2,MSG_EEG_POWER_MIDGAMMA_diff2,MSG_EEG_POWER_THETA_diff2,btn_color
1031073,8099,987,2039,4173,642,586,24405,215344,12184,6724,26140,9443,4869,3963,29108,699349,13310,5677,16777033,6698,3381,3657,240146,334948.661679,2238.78990131,2494.56025962,7902133.47321,2152.0932962,1750.67586949,1524.93373262,100611.096546,-815729,484005,4085,1126,5737,-1047,24101,16750893,5270,-2745,4227,-1488,3377,-306,4703,211038,0
56144,1281,1479,1159,934,856,635,13378,82809,5729,800,6430,3606,632,169,11949,23493,1105,623,1773,772,300,308,15997,24256.7238834,2139.49776038,368.948355314,2353.43923274,1299.46074286,228.408989899,195.336177454,1676.22280407,26665,-59316,4448,-4624,-679,-177,5271,-4657,2672,-2834,-224,-332,-466,139,-1429,4048,0
248157,338,464,391,16777094,2113,238,6159,513260,86272,87092,99614,148636,211503,93362,550872,619228,11825,21397,19507,10399,59608,9325,51591,156063.557093,38091.9345998,36905.9373393,42982.8863024,7871515.35707,88331.4076205,41921.7131674,246769.761328,265103,105968,85934,-74447,86628,-65695,99223,-80107,-16628458,-138237,209390,-151895,93124,-84037,544713,-499281,0
1521828,78976,152765,225657,67716,115086,16760106,744492,148079,6153,4764,19454,8875,6715,2547,29794,1307682,279137,79841,84734,75431,358870,16776613,1300486,603482.849054,115416.097234,60423.2862636,86049.3705432,29723.7010594,147266.974619,7903482.68024,520104.767021,-1373749,1159603,-72823,272984,-148001,75077,-206203,65280,-58841,66556,-108371,352155,-16757559,16774066,-714698,1270692,0
96217,2415,4744,8625,2277,1873,250,3332,756663,17642,8192,18082,8598,10537,7236,77520,846253,18156,15453,19692,7341,3155,12546,16768259,334459.645184,7302.2432322,4463.35083392,4882.00138832,2732.09699681,3818.1197234,5035.34079173,7885634.26281,660446,89590,15227,514,3448,7261,9457,1610,6321,-1257,8664,-7382,6986,5310,74188,16690739,0
1663215,43936,126631,275497,80247,147515,88548,721635,997087,6645,68543,16775251,9298,16959,10017,162409,354263,30906,23828,30884,3816,16747351,18055,59913,534405.645519,15452.4205296,42087.3480303,7836350.79337,34809.8177179,7856190.882,35278.2439315,290806.379721,-666128,-642824,-37291,24261,-58088,-44715,16499754,-16744367,-70949,-5482,-130556,16730392,-78531,8038,-559226,-102496,0
126185,3224,6958,10697,9618,6620,2434,118785,209321,7180,16749843,5224,8172,10450,22869,345879,695098,22441,22212,21145,10710,17717,15979,104952,250899.025682,8285.47018715,7889078.73568,6604.65049963,1039.48833567,4602.19268996,8488.73992743,110458.064468,83136,485777,3956,15261,16742885,-16727631,-5473,15921,-1446,2538,3830,7267,20435,-6890,227094,-240927,0
169450,71415,117743,131479,16750282,93349,16758503,315391,324134,22536,11559,27182,4956,16916,21654,74408,1487157,31786,9815,11574,15425,22844,14617,28399,588113.875617,21200.5680794,50471.7044777,53227.6900557,7891355.96894,34718.0703797,7891485.44212,125854.431977,154684,1163023,-48879,9250,-106184,-1744,-104297,-15608,-16745326,10469,-76433,5928,-16736849,-7037,-240983,-46009,0
866257,78386,29258,24264,29038,16613,16744537,375170,157231,12716,11623,12060,1523,5343,4306,28560,1238378,7784,17711,16750170,13499,16488,29988,52254,448462.898617,32182.6660176,7313.53522967,7887545.78666,11264.3011422,5283.51261525,7885374.23738,158104.97244,-709026,1081147,-65670,-4932,-17635,6088,-12204,16738110,-27515,11976,-11270,11145,-16740231,25682,-346610,23694,0
339564,16751164,16759202,26308,24341,16757433,30870,266633,337707,7988,79847,138291,65850,48088,16745517,945189,375717,24148,27536,32621,25103,15168,14136,342755,17496.8186251,7889002.66881,7875082.12862,51366.0016807,19390.4206991,7884631.54487,7883307.36098,303527.324118,-1857,38010,-16743176,16160,-16679355,-52311,111983,-105670,41509,-40747,-16709345,-32920,16714647,-16731381,678556,-602434,0
1352636,19377,16744906,16756701,13418,16747650,8103,186579,209608,18953,15520,7761,9499,12866,6341,129143,1533061,112616,42500,16776156,16760208,65789,16763092,760059,586002.847226,44053.5639446,7879956.64149,7900115.61446,7895436.394,7876408.39465,7898792.90054,284845.611897,-1143028,1323453,-424,93663,-16729386,26980,-16748940,16768395,-3919,16750709,-16734784,52923,-1762,16756751,-57436,630916,0
2567482,50896,83140,121088,16747531,16748372,41955,1182356,357518,16752577,27994,16763894,8418,10435,10526,37756,111114,25926,30328,14960,5595,11841,8186,53472,1104455.60063,7879140.00808,25463.778667,7870627.85045,7891559.01387,7890007.79402,15396.9802306,535903.726647,-2209964,-246404,16701681,-16726651,-55146,2334,16642806,-16748934,-16739113,-2823,-16737937,1406,-31429,-2340,-1144600,15716,0
1676594,31341,16772989,16747274,16774853,81597,16746844,249256,406570,18563,12925,16770323,13314,7485,13690,162909,236415,10591,10798,20624,7722,18616,18484,16749644,642566.834971,8546.55595352,7901271.32477,7890456.73984,7902783.6368,32631.0929874,7886954.72889,7798789.34989,-1270024,-170155,-12778,-7972,-16760064,-2127,23049,-16749699,-16761539,-5592,-74112,11131,-16733154,4794,-86347,16586735,0
1963409,9532,17475,16758621,2542,15211,11449,36315,685424,16749110,66901,9565,21199,16768069,48626,929180,491010,16774612,74937,34250,66628,16775839,16767710,930986,653112.316257,7897130.48713,25406.4475981,7889768.84316,26913.2208032,7899205.04084,7890229.08151,421326.920851,-1277985,-194414,16739578,25502,49426,8036,-16749056,24685,18657,45429,16752858,7770,37177,16719084,892865,1806,0
99036,7050,4806,21244,4083,2127,1670,16754301,1961212,140082,283803,184222,16753640,67077,16750486,277057,1422779,74770,16756500,76376,93325,139223,26406,722564,782439.566748,54313.0522148,7831892.33306,67685.6505587,7874866.62836,55994.9015854,7889643.71198,7664598.54395,1862176,-538433,133032,-65312,278997,16472697,162978,-107846,16749557,-16660315,64950,72146,16748816,-16724080,-16477244,445507,0
52460,471,1081,761,1840,884,1005,1999,492026,1771,3697,5818,1250,2184,1132,20080,160644,3584,16674,4145,10885,11827,5933,114997,187004.478893,1276.61609996,6818.17533427,2103.53232022,4409.50173552,4881.10527101,2293.7333469,49558.8398371,439566,-331382,1300,1813,2616,12977,5057,-1673,-590,9635,1300,9643,127,4801,18081,94917,0
261781,14293,16747822,16756575,16756668,30499,20631,593098,198929,6129,14760,16758791,11661,15169,12166,73937,205704,5365,24802,4964,5063,10867,4558,81081,28167.9574813,4040.67893085,7885675.21704,7897307.52396,7895227.62348,8425.69830934,6564.88315881,243068.483479,-62852,6775,-8164,-764,-16733062,10042,2216,-16753827,-16745007,-6598,-15330,-4302,-8465,-7608,-519161,7144,0
794322,8463,16756869,21242,26621,16750979,14832,151766,919725,16514,23117,12173,11465,11094,9964,157753,54075,504,4173,415,2359,1815,2678,15333,381960.070036,6536.09110164,7892835.27526,8526.17703833,10007.0431641,7893445.45678,4994.47401301,65771.7129826,125403,-865650,8051,-16010,-16733752,-18944,-9069,-11758,-15156,-9106,-16739885,-9279,-4868,-7286,5987,-142420,0
55260,482,23430,1204,3548,6971,8607,14656,899722,4408,22922,5371,11909,5690,11955,16759806,20313,14181,16751548,4088,12262,16769901,16749054,16747658,406570.692436,5759.89589026,7885830.189,1742.52160835,4027.1954123,7902422.9356,7890733.38307,7890877.65875,844462,-879409,3926,9773,-508,16728626,4167,-1283,8361,353,-1281,16764211,3348,16737099,16745150,-12148,0
77511,2523,2502,5796,1284,2827,3475,11767,321925,3052,19427,25085,11889,18194,29213,75767,1004649,16744522,12021,25387,6967,12025,2442,15600,392348.36202,7892129.33214,6927.52819474,9164.93320579,4333.18715138,6314.04478568,12383.6728262,29308.2464277,244414,682724,529,16741470,16925,-7406,19289,302,10605,-4922,15367,-6169,25738,-26771,64000,-60167,0
1118540,16762487,16751868,16746298,16747258,16775583,22614,132125,17792,15606,16768668,10785,22291,16754826,30364,5388,156352,11182,11989,1622,8662,10534,6767,16753295,489517.992003,7895598.36592,7895217.41509,7891357.1124,7887439.40249,7898231.96395,9820.66029688,7865337.05795,-1100748,138560,-16746881,-4424,16800,-16756679,-16735513,-9163,-16724967,-13629,-20757,-16744292,7750,-23597,-126737,16747907,0
377889,16753778,27529,16751494,16747537,16747421,12750,47609,16774280,17558,16751310,15927,21134,16749802,18824,18652,1473331,65597,16768799,4137,27510,16755912,10933,16776529,7484507.48993,7878231.27868,7887791.39637,7892002.33923,7883399.5829,3576.12984477,3374.13109803,7892922.59926,16396391,-15300949,-16736220,48039,16723781,17489,-16735567,-11790,-16726403,6376,2381,6110,6074,-7891,-28957,16757877,0
162369,8687,9599,16486,6510,4186,5640,31933,80722,2030,5374,8840,2697,5971,5726,69503,324691,6891,30447,9681,6698,11954,16593,16745174,101398.84793,2812.08870573,10960.2567792,3423.39373527,1843.37594887,3322.05321384,5143.14315915,7869856.97688,-81647,243969,-6657,4861,-4225,25073,-7646,841,-3813,4001,1785,5983,86,10867,37570,16675671,0
100194,1327,6134,5370,1790,3222,935,16744680,396360,23570,21645,28305,22185,18188,8752,46801,211409,6693,5065,7604,4359,9378,5397,18285,122151.976462,9477.33046098,7576.50081942,10325.461421,9069.61999694,6141.78396089,3201.9257747,7878185.5353,296166,-184951,22243,-16877,15511,-16580,22935,-20701,20395,-17826,14966,-8810,7817,-3355,-16697879,-28516,0
225684,23046,16749685,16424,11586,15498,9314,16746569,107787,14006,28151,23319,11640,23475,8564,95296,410964,30660,15250,7451,16330,9079,9045,20015,124786.339324,6807.26990471,7885649.27587,6496.57326767,2223.72440339,5888.60392812,310.2368271,7867289.30067,-117897,303177,-9040,16654,-16721534,-12901,6895,-15868,54,4690,7977,-14396,-750,481,-16651273,-75281,0
76183,18078,16758400,8194,17160,20142,20586,16768499,612665,15721,10714,11969,19923,12928,6282,16774056,12552,3710,13859,1110,3956,6352,2877,4387,269154.530842,6291.60811452,7894193.71399,4501.25367722,6967.58266705,5631.75196739,7672.51314759,7903988.30688,536482,-600113,-2357,-12011,-16747686,3145,3775,-10859,2763,-15967,-7214,-6576,-14304,-3405,5557,-16769669,0
80103,3188,18733,19009,4552,9829,2975,28960,148774,774,3884,2492,6191,3943,2173,6908,1812853,13423,20921,10816,5316,18362,6920,89476,801130.949691,5483.10356155,7568.49841265,6743.10770755,669.63024623,5919.50303845,2074.7218823,34906.1465202,68671,1664079,-2414,12649,-14849,17037,-16517,8324,1639,-875,-5886,14419,-802,4747,-22052,82568,0
337820,24399,16751243,9827,20471,66297,16026,28946,16767625,5848,8844,766,4836,5544,5177,16749656,40366,32332,16752866,16764747,16359,28176,3993,71035,7816138.32524,11097.9194547,7892825.15007,7900481.59767,6617.66405581,25069.558951,5414.95609913,7872316.56467,16429805,-16727259,-18551,26484,-16742399,16744022,-9061,16763981,-15635,11523,-60753,22632,-10849,-1184,16720710,-16678621,0
303076,9437,25275,22990,21345,24392,21383,32550,16153,7677,16763139,29126,10585,27513,19472,19391,84576,2428,8697,4667,4813,4573,5893,14892,122360.471494,2977.24111665,7894215.13123,10390.3026691,6850.79563911,10158.6143084,6895.9026643,7492.25708463,-286923,68423,-1760,-5249,16737864,-16754442,6136,-24459,-10760,-5772,3121,-22940,-1911,-13579,-13159,-4499,0
113341,14897,83026,11801,12776,29015,10189,93041,90446,4242,7799,3695,7289,4341,3329,17339,6435,6298,16744868,10040,7176,11913,11800,11015,45960.0333406,4615.1798087,7872258.7232,3481.17767429,2613.63811998,10320.5289701,3672.91531197,37266.3841015,-22895,-84011,-10655,2056,-75227,16737069,-8106,6345,-5487,-113,-24674,7572,-6860,8471,-75702,-6324,0
15493,15586,11358,10966,16158,10836,7775,13547,6730,17595,7572,1496,12581,13054,8262,17010,16748456,22740,19875,16760057,18208,9390,4810,16770921,7890060.67438,3012.69207779,5144.97482987,7897830.26321,2325.23733556,1506.84866157,1525.51259145,7898685.74978,-8763,16741726,2009,5145,-3786,12303,-9470,16758561,-3577,5627,2218,-3664,487,-3452,3463,16753911,0
11502,5249,13833,3605,2190,2636,1053,6935,3436,10260,18952,9223,15882,10292,14283,19279,3589,11015,15457,7693,10238,11965,6236,7254,3766.80433377,2558.79533288,2135.84648845,2371.46387046,5618.38157796,4061.24646985,5443.14653691,5745.30457562,-8066,153,5011,755,5119,-3495,5618,-1530,13692,-5644,7656,1673,13230,-8047,12344,-12025,0
416622,16754234,7209,1897,20003,25110,6160,14026,16746633,13943,12743,16755792,11864,13633,2717,27858,20605,25970,19953,5541,14706,3460,7866,16748094,7793060.31302,7888615.5937,5217.6920398,7897003.08495,3372.74194421,8843.91792263,2141.56967355,7885257.09472,16330011,-16726028,-16740291,12027,5534,7210,16753895,-16750251,-8139,2842,-11477,-10173,-3443,5149,13832,16720236,0
7381,20235,14359,5387,5548,5282,4895,12482,40184,2763,8029,1512,4506,1807,516,27810,9972,14977,25685,19523,8882,3967,1666,9005,14890.3959876,7318.91874224,7303.58748987,7740.50129011,1866.38974136,1432.57538099,1853.66250074,8169.49024658,32803,-30212,-17472,12214,-6330,17656,-3875,18011,-1042,4376,-3475,2160,-4379,1150,15328,-18805,0
1397,11551,17403,5918,7409,6465,7486,12648,12849,5320,9973,10861,7486,13665,4891,15760,16763481,3888,2099,7054,1946,2484,724,19463,7899024.29678,3326.61913794,6248.70823984,2113.89566651,2593.62247745,4627.25166811,2785.32978299,2785.6971599,11452,16750632,-6231,-1432,-7430,-7874,4943,-3807,77,-5540,7200,-11181,-2595,-4167,3112,3703,0
6975,5710,11480,4693,2478,5302,8765,3331,2685,3564,10061,5601,6008,7485,4803,10392,82653,2706,7477,8517,5934,3081,2863,26136,36727.8955564,1263.39472146,1657.12689784,1631.30813221,1646.89310184,1797.94778073,2456.1634039,9532.39670224,-4290,79968,-2146,-858,-1419,-2584,908,2916,3530,-74,2183,-4404,-3962,-1940,7061,15744,0
16776518,3230,3216,732,4225,2367,2937,22076,16749463,8846,16751672,7612,10593,10691,5773,15244,25972,16754108,28452,14097,13516,4759,8802,16766126,7889913.91657,7895116.24543,7889356.41938,5457.03266946,3878.97515102,3499.19457399,2394.80831986,7894831.67688,-27055,-16723491,5616,16745262,16748456,-16723220,6880,6485,6368,2923,8324,-5932,2836,3029,-6832,16750882,0
517342,16786,16748632,16772241,16750781,32713,25505,85390,1686889,68759,70141,97424,67784,16757862,16754078,390902,2076313,21646,79768,16756981,16752054,26995,17777,49335,662476.986252,23438.9208559,7860047.93431,7856989.77053,7864740.27229,7885658.94055,7887747.07661,153226.615275,1169547,389424,51973,-47113,-16678491,9627,-16674817,16659557,-16682997,16684270,16725149,-16730867,16728573,-16736301,305512,-341567,0
302691,4372,8072,5490,4201,7305,5425,16752163,7219,7831,20831,12864,16758362,16758267,18622,9639,20664,6905,6586,2071,2048,7139,4966,13828,136228.44357,1462.04749885,6393.74956935,4503.75505057,7898494.75333,7896518.34126,6332.08607017,7891514.33159,-295472,13445,3459,-926,12759,-14245,7374,-10793,16754161,-16756314,16750962,-16751128,13197,-13656,-16742524,4189,0
27796,15595,16754577,8078,18473,16747035,23405,27505,24434,4324,7889,2573,4419,7248,3479,19014,77778,4344,16753661,11167,12764,14727,17999,71509,24392.8170302,5308.49258788,7894248.53706,3554.39918348,5771.06404593,7889449.0425,8413.61800892,23007.6656839,-3362,53344,-11271,20,-16746688,16745772,-5505,8594,-14054,8345,-16739787,7479,-19926,14520,-8491,52495,0
13949,1500,8824,4147,2344,5908,3070,10896,12563,8526,25033,15042,16753327,10369,25701,29151,513590,5581,19400,9622,6463,15977,15476,20677,235860.388226,2880.8228377,6719.07852478,4447.88401627,7895518.43535,4119.53268655,9253.35748076,7458.93693647,-1386,501027,7026,-2945,16209,-5633,10895,-5420,16750983,-16746864,4461,5608,22631,-10225,18255,-8474,0
86566,3404,13840,6211,6566,7861,3839,18202,12960,22945,16748924,7184,18920,23558,17603,9235,16753274,421,6486,12693,1969,3784,3638,26856,7874167.93642,9989.32511345,7890728.17899,2854.0835073,7157.66974806,8524.66235239,6536.30308355,7194.12141188,-73606,16740314,19541,-22524,16735084,-16742438,973,5509,12354,-16951,15697,-19774,13764,-13965,-8967,17621,0
6486,779,3082,10968,1873,4729,1913,4441,13968,1587,27188,5930,12073,10482,20862,16745287,348037,12444,16761634,16996,15323,14464,20146,145062,159274.453098,5318.72518143,7894381.47013,4523.69789737,5730.08628983,3996.15868331,8768.75479567,7858775.48499,7482,334069,808,10857,24106,16734446,-5038,11066,10200,3250,5753,3982,18949,-716,16740846,-16600225,0
9306,6480,16744911,1684,16744418,23317,9707,6900,25135,8901,31080,14017,6606,21162,8867,20830,11633,22071,13608,26496,16464,15498,18518,19357,6978.3488496,6850.70492723,7883096.91009,10129.5150372,7887957.71874,3297.50211861,4365.02668949,6248.47961952,15829,-13502,2421,13170,-16713831,-17472,12333,12479,-16737812,9858,-2155,-5664,-840,9651,13930,-1473,0
146601,2769,11744,11794,8618,7228,3053,25518,136487,87252,32387,5421,3515,16747676,27323,16755269,1703082,8372,16771236,16430,15480,25879,16747453,150602,736127.652757,38572.9111885,7895639.19076,4513.01458746,4902.25433403,7887130.4598,7887671.58721,7857163.61538,-10114,1566595,84483,-78880,20643,16738849,-6373,11009,-5103,11965,16740448,-16721797,24270,16720130,16729751,-16604667,0
11138,22464,16745858,17750,19856,11551,12365,14876,10890,5986,6874,1102,2675,2500,3872,17452,95601,2310,8068,8669,3285,3976,7711,19143,39874.8227359,8763.6951618,7890551.31761,6805.87943538,7959.31949911,3964.84274594,3472.57006969,1754.44027162,-248,84711,-16478,-3676,-16738984,1194,-16648,7567,-17181,610,-9051,1476,-8493,3839,2576,1691,0
12420,22380,16746589,10645,7262,10594,23909,13577,16765604,12782,5299,8672,1742,6584,2961,19949,8757,7697,5860,2101,3465,6346,4005,3039,7898390.19419,6087.96004878,7891787.56423,3652.55931582,2305.94251639,1948.85288197,9638.33697043,6972.96308769,16753184,-16756847,-9598,-5085,-16741290,561,-1973,-6571,-5520,1723,-4010,-238,-20948,1044,6372,-16910,0
31173,26042,29958,3589,12972,21170,7177,19818,16751600,16777190,8977,5644,9158,4668,2203,27051,4999,5074,4434,993,6390,4889,2857,4155,7888261.38564,7901513.73748,11117.1328538,1903.03973217,2698.37696073,7727.553918,2206.82758728,9556.10726185,16720427,-16746601,16751148,-16772116,-20981,-4543,2055,-4651,-3814,-2768,-16502,221,-4974,654,7233,-22896,0
7413,17621,13352,15608,7378,10626,20863,19506,23716,22204,16752897,28173,16683,17818,10176,32133,41759,23994,6955,14206,9721,1597,2286,121302,14027.69235,2683.76017309,7892605.40841,6279.79049544,3951.68203287,6636.33555176,7612.62838242,45305.1104623,16303,18043,4583,1790,16739545,-16745942,12565,-13967,9305,-6962,7192,-16221,-10687,-7890,12627,89169,0
55950,9514,30685,16762560,27647,25429,20554,56490,16773178,4017,4466,3343,1303,1793,1008,20754,17936,7792,16548,10086,7561,10411,6983,24694,7889552.10352,2295.71867227,10714.8155685,7898781.79807,11237.9134876,9766.55713249,8178.01104589,15998.5100417,16717228,-16755242,-5497,3775,-26219,12082,-16759217,6743,-26344,6258,-23636,8618,-19546,5975,-35736,3940,0
12774,5504,15040,10502,8919,6531,4021,5307,16746591,19534,13168,8963,9963,9312,10738,10481,22070,1746,6536,1511,2596,4405,3578,16631,7886206.80883,7654.89246604,3648.52822686,3926.2493553,3254.79055479,2009.21449549,3275.83641567,4628.72375019,16733817,-16724521,14030,-17788,-1872,-6632,-1539,-7452,1044,-7367,2781,-4907,6717,-7160,5174,6150,0
10907,29507,17918,11104,4740,6999,7388,7848,3867,9603,19643,386,24846,9748,5325,7309,16758409,3449,2182,2865,2699,1614,1963,14437,7896508.0217,11120.8527651,7856.2349054,4581.38850859,9993.92329813,3378.31618151,2235.81051672,3240.60738477,-7040,16754542,-19904,-6154,1725,-17461,-10718,2479,20106,-22147,2749,-8134,-2063,-3362,-539,7128,0
16754453,12224,11225,3686,11034,11522,17206,16753399,9784,2925,23363,4092,9237,7876,9614,12016,6104,9865,12495,14552,16930,13723,6861,10172,7894380.19302,3946.86770321,5447.29665879,5029.31839871,3285.90041778,2411.2036183,4374.6301177,7892398.30137,-16744669,-3680,-9299,6940,12138,-10868,406,10460,-1797,7693,-3646,5847,-7592,-2753,-16741383,-1844,0
23173,1716,6486,978,1785,7272,1446,3857,1266,5098,32365,5369,5750,7630,8225,4792,771173,16755459,24994,16746460,24767,12147,12034,130719,357885.876487,7896993.16603,10886.2826325,7892861.15257,10030.7296622,2218.5350021,4378.85152371,59584.161391,-21907,769907,3382,16750361,25879,-7371,4391,16741091,3965,19017,358,4517,6779,3809,935,125927,0
