MSG_EEG_POWER_DELTA_1,MSG_EEG_POWER_HIGHALPHA_1,MSG_EEG_POWER_HIGHBETA_1,MSG_EEG_POWER_LOWALPHA_1,MSG_EEG_POWER_LOWBETA_1,MSG_EEG_POWER_LOWGAMMA_1,MSG_EEG_POWER_MIDGAMMA_1,MSG_EEG_POWER_THETA_1,MSG_EEG_POWER_DELTA_2,MSG_EEG_POWER_HIGHALPHA_2,MSG_EEG_POWER_HIGHBETA_2,MSG_EEG_POWER_LOWALPHA_2,MSG_EEG_POWER_LOWBETA_2,MSG_EEG_POWER_LOWGAMMA_2,MSG_EEG_POWER_MIDGAMMA_2,MSG_EEG_POWER_THETA_2,MSG_EEG_POWER_DELTA_3,MSG_EEG_POWER_HIGHALPHA_3,MSG_EEG_POWER_HIGHBETA_3,MSG_EEG_POWER_LOWALPHA_3,MSG_EEG_POWER_LOWBETA_3,MSG_EEG_POWER_LOWGAMMA_3,MSG_EEG_POWER_MIDGAMMA_3,MSG_EEG_POWER_THETA_3,MSG_EEG_POWER_DELTA_sd,MSG_EEG_POWER_HIGHALPHA_sd,MSG_EEG_POWER_HIGHBETA_sd,MSG_EEG_POWER_LOWALPHA_sd,MSG_EEG_POWER_LOWBETA_sd,MSG_EEG_POWER_LOWGAMMA_sd,MSG_EEG_POWER_MIDGAMMA_sd,MSG_EEG_POWER_THETA_sd,MSG_EEG_POWER_DELTA_diff1,MSG_EEG_POWER_HIGHALPHA_diff1,MSG_EEG_POWER_HIGHBETA_diff1,MSG_EEG_POWER_LOWALPHA_diff1,MSG_EEG_POWER_LOWBETA_diff1,MSG_EEG_POWER_LOWGAMMA_diff1,MSG_EEG_POWER_MIDGAMMA_diff1,MSG_EEG_POWER_THETA_diff1,MSG_EEG_POWER_DELTA_diff2,MSG_EEG_POWER_HIGHALPHA_diff2,MSG_EEG_POWER_HIGHBETA_diff2,MSG_EEG_POWER_LOWALPHA_diff2,MSG_EEG_POWER_LOWBETA_diff2,MSG_EEG_POWER_LOWGAMMA_diff2,MSG_EEG_POWER_MIDGAMMA_diff2,MSG_EEG_POWER_THETA_diff2,btn_color
31986,584,10051,3829,6425,3314,4572,16748464,19555,12885,25445,676,8012,10897,22114,11340,9075,22651,20199,8150,16767414,10652,14378,22355,9364.67405851,9028.60790303,6389.90224234,3063.64209543,7900831.95461,3518.33543344,7178.0924114,7887360.94015,-12431,-10480,12301,9766,15394,-5246,-3153,7474,1587,16759402,7583,-245,17542,-7736,-16737124,11015,0
24243,1677,28182,4188,5259,8988,9768,9400,45027,5932,10183,5138,6876,5857,4110,18003,13709,6475,19833,6283,18659,12785,20142,16750510,13011.7764438,2145.29661249,7354.45671383,856.514253627,5972.28578984,2832.69706581,6638.75711259,7889807.97224,20784,-31318,4255,543,-17999,9650,950,1145,1617,11783,-3131,6928,-5658,16032,8603,16732507,0
12846,15676,28299,5210,15170,11259,11363,17341,45613,914,3484,1163,4529,3529,1273,23318,16760465,4646,23768,4480,11164,19301,15489,30951,7887191.39722,6267.24614342,10789.680471,1761.11069751,4388.14238096,6439.31197153,5971.47508298,5569.95230381,32767,16714852,-14762,3732,-24815,20284,-4047,3317,-10641,6635,-7730,15772,-10090,14216,5977,7633,0
16755049,3015,19064,2537,9853,11421,23208,14963,16750792,12286,10998,6131,16747891,22413,10668,16748571,7845,5574,16673,2334,10450,13019,5016,15319,7893704.483,3909.40271084,3382.68240044,1744.04555241,7890246.07189,4849.11107547,7602.23335606,7888214.55168,-4257,-16742947,9271,-6712,-8066,5675,3594,-3797,16738038,-16737441,10992,-9394,-12540,-5652,16733608,-16733252,0
744077,27876,9567,15504,3756,19931,5864,16745167,8364,17287,16750687,3339,15634,6179,24971,18955,7192,9302,21366,8775,14617,25146,9284,1184,347095.007035,7607.60308288,7889060.0707,4975.68266673,5375.69110802,8000.42233607,8319.02650555,7889003.95334,-735713,-1172,-10589,-7985,16741120,-16729321,-12165,5436,11878,-1017,-13752,18967,19107,-15687,-16726212,-17771,0
116070,8361,16769609,75155,10531,23641,25136,53491,921049,12026,11481,5895,1187,4823,1335,16766320,659092,1708,19874,6218,1720,18634,6194,16762423,335242.12689,4270.77611994,7897879.79339,32573.6121867,4284.70336066,7957.74182095,10268.0564319,7877584.77475,804979,-261957,3665,-10318,-16758128,8393,-69260,323,-9344,533,-18818,13811,-23801,4859,16712829,-3897,0
462213,6798,11836,7501,9116,17430,6662,7820,1426574,24092,21830,16747250,29026,28675,26082,119902,135523,21033,23018,16770927,21282,9622,16146,55622,548080.608328,7535.657031,5014.73943047,7896779.99385,8194.77605958,7820.42694203,7928.89758345,45921.8228539,964361,-1291051,17294,-3059,9994,1188,16739749,23677,19910,-7744,11245,-19053,19420,-9936,112082,-64280,0
150068,6341,9137,7227,4484,5982,9909,16751883,1243615,85858,95348,16750103,14358,65769,16771168,55765,1061029,27565,27292,12262,26917,67184,16895,108747,478310.990434,33617.9272842,37108.7885398,7891480.94427,9180.07411009,28523.2310738,7899687.16559,7858167.29607,1093547,-182586,79517,-58293,86211,-68056,16742876,-16737841,9874,12559,59787,1415,16761259,-16754273,-16696118,52982,0
368149,19791,16774646,18633,22040,16752599,16749098,38704,2141,27039,25850,4768,25176,16746807,21374,11265,349543,3439,23554,13848,5427,5727,7856,11405,168323.824452,9870.72781286,7895999.38023,5750.17729195,8665.70036921,7893186.3366,7888712.86966,12901.9969255,-366008,347402,7248,-23600,-16748796,-2296,-13865,9080,3136,-19749,-5792,-16741080,-16727724,-13518,-27439,140,0
15643,3006,23929,7666,16072,16746402,29148,4479,16745047,6423,16745246,2769,12713,16745927,23996,21224,808893,23680,16754804,16754398,32092,21442,11921,284715,7706153.44362,9048.59850413,7884758.23511,7895639.66034,8455.56307344,7884109.79786,7219.71265972,128339.877669,16729404,-15936154,3417,17257,16721317,9558,-4897,16751629,-3359,19379,-475,-16724485,-5152,-12075,16745,263491,0
